origem_ponto,origem_lat,origem_long,destino_ponto,destino_lat,destino_long
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Sesc Itaquera, São Paulo, SP, Brasil",-23.58095,-46.468638095570725
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Parque do Carmo, São Paulo, SP, Brasil",-23.5787082,-46.458056
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Shopping Metrô Itaquera, São Paulo, SP, Brasil",-23.54076145,-46.47049279786765
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Estádio do Corinthians (NeoQuimica Arena), São Paulo, SP, Brasil",-23.5453084,-46.4791001
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Centro de Exposições Imigrantes, São Paulo, SP, Brasil",-23.64396315,-46.629504947154565
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Pico do Jaraguá, São Paulo, SP, Brasil",-23.458333,-46.765278
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Avenida Paulista, São Paulo, SP, Brasil",-23.5558612,-46.6625362
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Edifício Copan, São Paulo, SP, Brasil",-23.54659435,-46.64453306171171
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Continental Shopping, São Paulo, SP, Brasil",-23.547523,-46.7621955
"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594,"Rua Vinte e Cinco de Março, São Paulo, SP, Brasil",-23.5392837,-46.6320647
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Teatro Santander, São Paulo, SP, Brasil",-23.5928491,-46.6943788
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Liberdade, São Paulo, SP, Brasil",-23.5653114,-46.6426594
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Shopping Jardins, São Paulo, SP, Brasil",-23.56470355,-46.66918029340085
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Avenida Brigadeiro Faria Lima, São Paulo, SP, Brasil",-23.567437,-46.6931773
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Parque do Ibirapuera, São Paulo, SP, Brasil",-23.58771265,-46.65852139371083
"Hospital São Luiz, São Paulo, SP, Brasil",-23.5921253,-46.6802154,"Shopping Interlagos, São Paulo, SP, Brasil",-23.6717075,-46.6778286
